week,score,rank,refresh_date,dma_name,dma_id,term
2024-06-02,27,25,2024-06-02,Baltimore MD,512,Aaron Judge
2024-06-02,18,25,2024-06-02,Atlanta GA,524,Aaron Judge
2024-06-02,,25,2024-06-02,Marquette MI,553,Aaron Judge
2024-06-02,16,25,2024-06-02,Grand Rapids-Kalamazoo-Battle Creek MI,563,Aaron Judge
2024-06-02,23,25,2024-06-02,Wilkes Barre-Scranton PA,577,Aaron Judge
2024-06-02,,25,2024-06-02,Rapid City SD,764,Aaron Judge
2024-06-02,22,25,2024-06-02,Buffalo NY,514,Aaron Judge
2024-06-02,20,25,2024-06-02,Ft. Myers-Naples FL,571,Aaron Judge
2024-06-02,,25,2024-06-02,Lake Charles LA,643,Aaron Judge
2024-06-02,21,25,2024-06-02,Las Vegas NV,839,Aaron Judge
2024-06-02,9,25,2024-06-02,Huntsville-Decatur (Florence) AL,691,Aaron Judge
2024-06-02,,25,2024-06-02,Juneau AK,747,Aaron Judge
2024-06-02,,25,2024-06-02,Savannah GA,507,Aaron Judge
2024-06-02,27,25,2024-06-02,Columbia-Jefferson City MO,604,Aaron Judge
2024-06-02,,25,2024-06-02,Ottumwa IA-Kirksville MO,631,Aaron Judge
2024-06-02,,25,2024-06-02,La Crosse-Eau Claire WI,702,Aaron Judge
2024-06-02,,25,2024-06-02,Bend OR,821,Aaron Judge
2024-06-02,,25,2024-06-02,Wausau-Rhinelander WI,705,Aaron Judge
2024-06-02,,25,2024-06-02,Butte-Bozeman MT,754,Aaron Judge
2024-06-02,18,25,2024-06-02,Providence-New Bedford MA,521,Aaron Judge
2024-06-02,16,25,2024-06-02,Memphis TN,640,Aaron Judge
2024-06-02,17,25,2024-06-02,Johnstown-Altoona-State College PA,574,Aaron Judge
2024-06-02,16,25,2024-06-02,St. Louis MO,609,Aaron Judge
2024-06-02,14,25,2024-06-02,Oklahoma City OK,650,Aaron Judge
2024-06-02,,25,2024-06-02,Albany GA,525,Aaron Judge
2024-06-02,17,25,2024-06-02,Knoxville TN,557,Aaron Judge
2024-06-02,,25,2024-06-02,Mankato MN,737,Aaron Judge
2024-06-02,14,25,2024-06-02,Spokane WA,881,Aaron Judge
2024-06-02,17,25,2024-06-02,Montgomery-Selma AL,698,Aaron Judge
2024-06-02,,25,2024-06-02,Odessa-Midland TX,633,Aaron Judge
2024-06-02,,25,2024-06-02,Alexandria LA,644,Aaron Judge
2024-06-02,,25,2024-06-02,Glendive MT,798,Aaron Judge
2024-06-02,16,25,2024-06-02,Corpus Christi TX,600,Aaron Judge
2024-06-02,,25,2024-06-02,Jackson TN,639,Aaron Judge
2024-06-02,,25,2024-06-02,Alpena MI,583,Aaron Judge
2024-06-02,14,25,2024-06-02,Houston TX,618,Aaron Judge
2024-06-02,,25,2024-06-02,Greenwood-Greenville MS,647,Aaron Judge
2024-06-02,,25,2024-06-02,North Platte NE,740,Aaron Judge
2024-06-02,26,25,2024-06-02,Bakersfield CA,800,Aaron Judge
2024-06-02,,25,2024-06-02,Rockford IL,610,Aaron Judge
2024-06-02,14,25,2024-06-02,Omaha NE,652,Aaron Judge
2024-06-02,26,25,2024-06-02,West Palm Beach-Ft. Pierce FL,548,Aaron Judge
2024-06-02,,25,2024-06-02,St. Joseph MO,638,Aaron Judge
2024-06-02,19,25,2024-06-02,San Antonio TX,641,Aaron Judge
2024-06-02,,25,2024-06-02,Jonesboro AR,734,Aaron Judge
