Team,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
Boston Celtics,1,0.778,0.813,0.771,0.793,0.784,0.78
Denver Nuggets,1,0.684,0.676,0.673,0.683,0.693,0.695
Oklahoma City Thunder,0.75,0.667,0.71,0.688,0.695,0.703,0.695
Minnesota Timberwolves,0.333,0.778,0.774,0.708,0.712,0.689,0.683
Los Angeles Clippers,0.75,0.444,0.613,0.674,0.649,0.635,0.622
Dallas Mavericks,1,0.647,0.576,0.542,0.576,0.608,0.61
New York Knicks,0.5,0.611,0.531,0.646,0.583,0.595,0.61
Milwaukee Bucks,0.667,0.684,0.75,0.667,0.65,0.635,0.598
New Orleans Pelicans,0.667,0.526,0.576,0.563,0.583,0.608,0.598
Phoenix Suns,0.5,0.611,0.531,0.583,0.593,0.581,0.598
Cleveland Cavaliers,0.25,0.526,0.563,0.644,0.655,0.6,0.585
Indiana Pacers,0.667,0.529,0.548,0.563,0.567,0.56,0.573
Los Angeles Lakers,0.5,0.55,0.5,0.49,0.541,0.56,0.573
Orlando Magic,0.5,0.722,0.594,0.521,0.567,0.581,0.573
Philadelphia 76ers,0.667,0.667,0.688,0.63,0.569,0.533,0.573
Miami Heat,0.25,0.579,0.594,0.521,0.559,0.554,0.561
Golden State Warriors,0.75,0.474,0.469,0.455,0.534,0.541,0.561
Sacramento Kings,0.667,0.588,0.613,0.587,0.569,0.581,0.561
Houston Rockets,0,0.5,0.5,0.468,0.424,0.514,0.5
Chicago Bulls,0.5,0.3,0.441,0.469,0.475,0.48,0.476
Atlanta Hawks,0.5,0.5,0.406,0.426,0.441,0.459,0.439
Brooklyn Nets,0.333,0.5,0.455,0.404,0.39,0.387,0.39
Utah Jazz,0.25,0.316,0.424,0.49,0.45,0.387,0.378
Memphis Grizzlies,0,0.235,0.313,0.383,0.339,0.324,0.329
Toronto Raptors,0.25,0.474,0.375,0.362,0.373,0.311,0.305
San Antonio Spurs,0.5,0.167,0.156,0.208,0.2,0.24,0.268
Charlotte Hornets,0.333,0.353,0.233,0.217,0.254,0.243,0.256
Portland Trail Blazers,0.25,0.333,0.29,0.313,0.263,0.257,0.256
Washington Wizards,0.333,0.167,0.188,0.191,0.153,0.187,0.183
Detroit Pistons,0.5,0.105,0.094,0.128,0.155,0.176,0.171
