Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sat Apr 20 2024,1:00p,Orlando Magic,83,Cleveland Cavaliers,97,Box Score,,19432,Rocket Mortgage Fieldhouse,1
Sat Apr 20 2024,3:30p,Phoenix Suns,95,Minnesota Timberwolves,120,Box Score,,19478,Target Center,1
Sat Apr 20 2024,6:00p,Philadelphia 76ers,104,New York Knicks,111,Box Score,,19812,Madison Square Garden (IV),1
Sat Apr 20 2024,8:30p,Los Angeles Lakers,103,Denver Nuggets,114,Box Score,,19731,Ball Arena,1
Sun Apr 21 2024,1:00p,Miami Heat,94,Boston Celtics,114,Box Score,,19156,TD Garden,1
Sun Apr 21 2024,3:30p,Dallas Mavericks,97,Los Angeles Clippers,109,Box Score,,19370,Crypto.com Arena,1
Sun Apr 21 2024,7:00p,Indiana Pacers,94,Milwaukee Bucks,109,Box Score,,17341,Fiserv Forum,1
Sun Apr 21 2024,9:30p,New Orleans Pelicans,92,Oklahoma City Thunder,94,Box Score,,18203,Paycom Center,1
Mon Apr 22 2024,7:00p,Orlando Magic,86,Cleveland Cavaliers,96,Box Score,,19432,Rocket Mortgage Fieldhouse,1
Mon Apr 22 2024,7:30p,Philadelphia 76ers,101,New York Knicks,104,Box Score,,19812,Madison Square Garden (IV),1
Mon Apr 22 2024,10:00p,Los Angeles Lakers,99,Denver Nuggets,101,Box Score,,19711,Ball Arena,1
Tue Apr 23 2024,7:30p,Phoenix Suns,93,Minnesota Timberwolves,105,Box Score,,19310,Target Center,1
Tue Apr 23 2024,8:30p,Indiana Pacers,125,Milwaukee Bucks,108,Box Score,,17683,Fiserv Forum,1
Tue Apr 23 2024,10:00p,Dallas Mavericks,96,Los Angeles Clippers,93,Box Score,,19370,Crypto.com Arena,1
Wed Apr 24 2024,7:00p,Miami Heat,111,Boston Celtics,101,Box Score,,19156,TD Garden,1
Wed Apr 24 2024,9:30p,New Orleans Pelicans,92,Oklahoma City Thunder,124,Box Score,,18203,Paycom Center,1
