Team,Jan,Feb,Mar,Apr,May
Celtics,0.813,0.771,0.793,0.784,0.78
Nuggets,0.676,0.673,0.683,0.693,0.695
Thunder,0.71,0.688,0.695,0.703,0.695
Timberwolves,0.774,0.708,0.712,0.689,0.683
Clippers,0.613,0.674,0.649,0.635,0.622
Mavericks,0.576,0.542,0.576,0.608,0.61
Knicks,0.531,0.646,0.583,0.595,0.61
Bucks,0.75,0.667,0.65,0.635,0.598
Pelicans,0.576,0.563,0.583,0.608,0.598
Suns,0.531,0.583,0.593,0.581,0.598
Cavaliers,0.563,0.644,0.655,0.6,0.585
Pacers,0.548,0.563,0.567,0.56,0.573
Lakers,0.5,0.49,0.541,0.56,0.573
Magic,0.594,0.521,0.567,0.581,0.573
76ers,0.688,0.63,0.569,0.533,0.573
Heat,0.594,0.521,0.559,0.554,0.561
Warriors,0.469,0.455,0.534,0.541,0.561
Kings,0.613,0.587,0.569,0.581,0.561
Rockets,0.5,0.468,0.424,0.514,0.5
Bulls,0.441,0.469,0.475,0.48,0.476
Hawks,0.406,0.426,0.441,0.459,0.439
Nets,0.455,0.404,0.39,0.387,0.39
Jazz,0.424,0.49,0.45,0.387,0.378
Grizzlies,0.313,0.383,0.339,0.324,0.329
Raptors,0.375,0.362,0.373,0.311,0.305
Spurs,0.156,0.208,0.2,0.24,0.268
Hornets,0.233,0.217,0.254,0.243,0.256
Trail Blazers,0.29,0.313,0.263,0.257,0.256
Wizards,0.188,0.191,0.153,0.187,0.183
Pistons,0.094,0.128,0.155,0.176,0.171
