G,TEAM,Date,Start (ET),,,,Opponent,game_result,,Tm,Opp,W,L,Streak,Notes
1,Boston Celtics,"Wed, Oct 25, 2023",7:00p,,Box Score,@,New York Knicks,W,,108,104,1,0,W 1,
2,Boston Celtics,"Fri, Oct 27, 2023",7:30p,,Box Score,,Miami Heat,W,,119,111,2,0,W 2,
3,Boston Celtics,"Mon, Oct 30, 2023",7:00p,,Box Score,@,Washington Wizards,W,,126,107,3,0,W 3,
4,Boston Celtics,"Wed, Nov 1, 2023",7:30p,,Box Score,,Indiana Pacers,W,,155,104,4,0,W 4,
5,Boston Celtics,"Sat, Nov 4, 2023",8:00p,,Box Score,@,Brooklyn Nets,W,,124,114,5,0,W 5,
6,Boston Celtics,"Mon, Nov 6, 2023",8:00p,,Box Score,@,Minnesota Timberwolves,L,OT,109,114,5,1,L 1,
7,Boston Celtics,"Wed, Nov 8, 2023",7:00p,,Box Score,@,Philadelphia 76ers,L,,103,106,5,2,L 2,
8,Boston Celtics,"Fri, Nov 10, 2023",7:30p,,Box Score,,Brooklyn Nets,W,,121,107,6,2,W 1,In-Season Tournament
9,Boston Celtics,"Sat, Nov 11, 2023",7:00p,,Box Score,,Toronto Raptors,W,,117,94,7,2,W 2,
10,Boston Celtics,"Mon, Nov 13, 2023",7:30p,,Box Score,,New York Knicks,W,,114,98,8,2,W 3,
11,Boston Celtics,"Wed, Nov 15, 2023",7:30p,,Box Score,@,Philadelphia 76ers,W,,117,107,9,2,W 4,
12,Boston Celtics,"Fri, Nov 17, 2023",7:30p,,Box Score,@,Toronto Raptors,W,,108,105,10,2,W 5,In-Season Tournament
13,Boston Celtics,"Sun, Nov 19, 2023",8:00p,,Box Score,@,Memphis Grizzlies,W,,102,100,11,2,W 6,
14,Boston Celtics,"Mon, Nov 20, 2023",7:00p,,Box Score,@,Charlotte Hornets,L,OT,118,121,11,3,L 1,
15,Boston Celtics,"Wed, Nov 22, 2023",7:30p,,Box Score,,Milwaukee Bucks,W,,119,116,12,3,W 1,
16,Boston Celtics,"Fri, Nov 24, 2023",2:30p,,Box Score,@,Orlando Magic,L,,96,113,12,4,L 1,In-Season Tournament
17,Boston Celtics,"Sun, Nov 26, 2023",6:00p,,Box Score,,Atlanta Hawks,W,,113,103,13,4,W 1,
18,Boston Celtics,"Tue, Nov 28, 2023",7:30p,,Box Score,,Chicago Bulls,W,,124,97,14,4,W 2,In-Season Tournament
19,Boston Celtics,"Fri, Dec 1, 2023",7:30p,,Box Score,,Philadelphia 76ers,W,,125,119,15,4,W 3,
20,Boston Celtics,"Mon, Dec 4, 2023",7:30p,,Box Score,@,Indiana Pacers,L,,112,122,15,5,L 1,In-Season Tournament
21,Boston Celtics,"Fri, Dec 8, 2023",7:30p,,Box Score,,New York Knicks,W,,133,123,16,5,W 1,
22,Boston Celtics,"Tue, Dec 12, 2023",7:30p,,Box Score,,Cleveland Cavaliers,W,,120,113,17,5,W 2,
23,Boston Celtics,"Thu, Dec 14, 2023",7:30p,,Box Score,,Cleveland Cavaliers,W,,116,107,18,5,W 3,
24,Boston Celtics,"Fri, Dec 15, 2023",7:30p,,Box Score,,Orlando Magic,W,,128,111,19,5,W 4,
25,Boston Celtics,"Sun, Dec 17, 2023",3:00p,,Box Score,,Orlando Magic,W,,114,97,20,5,W 5,
26,Boston Celtics,"Tue, Dec 19, 2023",10:00p,,Box Score,@,Golden State Warriors,L,OT,126,132,20,6,L 1,
27,Boston Celtics,"Wed, Dec 20, 2023",10:00p,,Box Score,@,Sacramento Kings,W,,144,119,21,6,W 1,
28,Boston Celtics,"Sat, Dec 23, 2023",3:30p,,Box Score,@,Los Angeles Clippers,W,,145,108,22,6,W 2,
