TEAM,Week,PW_win_pct,Weekly_Win%,Cum_Win%
Boston Celtics,2024-01-07 00:00:00,1.000,0.667,0.800
Boston Celtics,2024-01-14 00:00:00,0.667,0.500,0.769
Boston Celtics,2024-01-21 00:00:00,0.500,0.750,0.767
Boston Celtics,2024-01-28 00:00:00,0.750,0.667,0.761
Boston Celtics,2024-02-04 00:00:00,0.667,0.750,0.760
Boston Celtics,2024-02-11 00:00:00,0.750,1.000,0.774
Boston Celtics,2024-02-18 00:00:00,1.000,1.000,0.782
Boston Celtics,2024-02-25 00:00:00,1.000,1.000,0.789
Boston Celtics,2024-03-03 00:00:00,1.000,1.000,0.800
Boston Celtics,2024-03-10 00:00:00,1.000,0.333,0.778
Boston Celtics,2024-03-17 00:00:00,0.333,1.000,0.791
Boston Celtics,2024-03-24 00:00:00,1.000,1.000,0.803
Boston Celtics,2024-03-31 00:00:00,1.000,0.333,0.784
Boston Celtics,2024-04-07 00:00:00,0.333,1.000,0.795
Boston Celtics,2024-04-14 00:00:00,1.000,0.500,0.780
Dallas Mavericks,2024-01-07 00:00:00,0.500,0.750,0.595
Dallas Mavericks,2024-01-14 00:00:00,0.750,0.333,0.575
Dallas Mavericks,2024-01-21 00:00:00,0.333,0.500,0.571
Dallas Mavericks,2024-01-28 00:00:00,0.500,0.250,0.543
Dallas Mavericks,2024-02-04 00:00:00,0.250,0.333,0.531
Dallas Mavericks,2024-02-11 00:00:00,0.333,1.000,0.566
Dallas Mavericks,2024-02-18 00:00:00,1.000,1.000,0.582
Dallas Mavericks,2024-02-25 00:00:00,1.000,0.500,0.579
Dallas Mavericks,2024-03-03 00:00:00,0.500,0.250,0.557
Dallas Mavericks,2024-03-10 00:00:00,0.250,0.667,0.562
Dallas Mavericks,2024-03-17 00:00:00,0.667,0.750,0.574
Dallas Mavericks,2024-03-24 00:00:00,0.750,1.000,0.586
Dallas Mavericks,2024-03-31 00:00:00,1.000,1.000,0.608
Dallas Mavericks,2024-04-07 00:00:00,1.000,0.750,0.615
Dallas Mavericks,2024-04-14 00:00:00,0.750,0.500,0.610
Denver Nuggets,2024-01-07 00:00:00,0.667,0.750,0.684
Denver Nuggets,2024-01-14 00:00:00,0.750,0.667,0.683
Denver Nuggets,2024-01-21 00:00:00,0.667,0.667,0.682
Denver Nuggets,2024-01-28 00:00:00,0.667,0.667,0.681
Denver Nuggets,2024-02-04 00:00:00,0.667,0.750,0.686
Denver Nuggets,2024-02-11 00:00:00,0.750,0.500,0.679
Denver Nuggets,2024-02-18 00:00:00,0.500,0.000,0.655
Denver Nuggets,2024-02-25 00:00:00,0.000,1.000,0.672
Denver Nuggets,2024-03-03 00:00:00,1.000,1.000,0.689
Denver Nuggets,2024-03-10 00:00:00,1.000,0.667,0.688
Denver Nuggets,2024-03-17 00:00:00,0.667,0.750,0.691
Denver Nuggets,2024-03-24 00:00:00,0.750,1.000,0.704
Denver Nuggets,2024-03-31 00:00:00,1.000,0.500,0.693
Denver Nuggets,2024-04-07 00:00:00,0.500,0.667,0.692
Denver Nuggets,2024-04-14 00:00:00,0.667,0.750,0.695
Minnesota Timberwolves,2024-01-07 00:00:00,0.667,0.250,0.714
Minnesota Timberwolves,2024-01-14 00:00:00,0.250,0.750,0.718
Minnesota Timberwolves,2024-01-21 00:00:00,0.750,0.667,0.714
Minnesota Timberwolves,2024-01-28 00:00:00,0.667,0.500,0.696
Minnesota Timberwolves,2024-02-04 00:00:00,0.500,0.750,0.700
Minnesota Timberwolves,2024-02-11 00:00:00,0.750,0.500,0.692
Minnesota Timberwolves,2024-02-18 00:00:00,0.500,1.000,0.709
Minnesota Timberwolves,2024-02-25 00:00:00,1.000,0.500,0.702
Minnesota Timberwolves,2024-03-03 00:00:00,0.500,0.500,0.689
Minnesota Timberwolves,2024-03-10 00:00:00,0.500,0.500,0.677
Minnesota Timberwolves,2024-03-17 00:00:00,0.500,1.000,0.687
Minnesota Timberwolves,2024-03-24 00:00:00,1.000,0.750,0.690
Minnesota Timberwolves,2024-03-31 00:00:00,0.750,0.667,0.689
Minnesota Timberwolves,2024-04-07 00:00:00,0.667,0.750,0.692
Minnesota Timberwolves,2024-04-14 00:00:00,0.750,0.500,0.683
New York Knicks,2024-01-07 00:00:00,0.250,1.000,0.583
New York Knicks,2024-01-14 00:00:00,1.000,0.667,0.590
New York Knicks,2024-01-21 00:00:00,0.667,0.750,0.605
New York Knicks,2024-01-28 00:00:00,0.750,1.000,0.630
New York Knicks,2024-02-04 00:00:00,1.000,0.750,0.640
New York Knicks,2024-02-11 00:00:00,0.750,0.333,0.623
New York Knicks,2024-02-18 00:00:00,0.333,0.000,0.600
New York Knicks,2024-02-25 00:00:00,0.000,0.500,0.596
New York Knicks,2024-03-03 00:00:00,0.500,0.500,0.590
New York Knicks,2024-03-10 00:00:00,0.500,0.333,0.578
New York Knicks,2024-03-17 00:00:00,0.333,1.000,0.597
New York Knicks,2024-03-24 00:00:00,1.000,0.667,0.600
New York Knicks,2024-03-31 00:00:00,0.667,0.500,0.595
New York Knicks,2024-04-07 00:00:00,0.500,0.500,0.590
New York Knicks,2024-04-14 00:00:00,0.500,1.000,0.610
